FIPS,Year,Name,Poverty Percent All Ages,Median Household Income
01000,2006,Alabama,16.6,38811.0
01001,2006,Autauga County,12.5,46491.0
01003,2006,Baldwin County,11.0,45493.0
01005,2006,Barbour County,28.7,28692.0
01007,2006,Bibb County,18.8,36794.0
01009,2006,Blount County,12.8,41494.0
01011,2006,Bullock County,32.9,23095.0
01013,2006,Butler County,22.8,29158.0
01015,2006,Calhoun County,17.6,36684.0
01017,2006,Chambers County,18.3,32014.0
01019,2006,Cherokee County,18.1,37097.0
01021,2006,Chilton County,19.0,36717.0
01023,2006,Choctaw County,23.5,28730.0
01025,2006,Clarke County,25.6,29659.0
01027,2006,Clay County,15.6,32512.0
01029,2006,Cleburne County,15.9,35119.0
01031,2006,Coffee County,14.2,41417.0
01033,2006,Colbert County,14.4,36690.0
01035,2006,Conecuh County,26.3,25992.0
01037,2006,Coosa County,16.7,32424.0
01039,2006,Covington County,16.9,30293.0
01041,2006,Crenshaw County,20.0,30576.0
01043,2006,Cullman County,15.7,35774.0
01045,2006,Dale County,16.9,36969.0
01047,2006,Dallas County,28.2,26135.0
01049,2006,DeKalb County,17.1,31613.0
01051,2006,Elmore County,13.0,50006.0
01053,2006,Escambia County,22.4,32844.0
01055,2006,Etowah County,16.7,32448.0
01057,2006,Fayette County,16.7,34465.0
01059,2006,Franklin County,17.0,30911.0
01061,2006,Geneva County,19.5,30230.0
01063,2006,Greene County,33.2,23404.0
01065,2006,Hale County,24.9,29268.0
01067,2006,Henry County,17.8,35398.0
01069,2006,Houston County,16.3,37415.0
01071,2006,Jackson County,15.5,37545.0
01073,2006,Jefferson County,14.3,41731.0
01075,2006,Lamar County,18.4,31891.0
01077,2006,Lauderdale County,17.1,37801.0
01079,2006,Lawrence County,14.6,37501.0
01081,2006,Lee County,18.7,37568.0
01083,2006,Limestone County,14.0,44253.0
01085,2006,Lowndes County,28.0,26390.0
01087,2006,Macon County,30.2,24467.0
01089,2006,Madison County,11.2,51434.0
01091,2006,Marengo County,26.2,30515.0
01093,2006,Marion County,17.1,32792.0
01095,2006,Marshall County,17.5,37142.0
01097,2006,Mobile County,19.1,38188.0
01099,2006,Monroe County,22.0,32163.0
01101,2006,Montgomery County,18.6,40922.0
01103,2006,Morgan County,16.0,40681.0
01105,2006,Perry County,32.3,22637.0
01107,2006,Pickens County,23.0,29737.0
