FIPS,Area_Name,Unemployment_rate_2000,Unemployment_rate_2001,Unemployment_rate_2002,Unemployment_rate_2003,Unemployment_rate_2004,Unemployment_rate_2005,Unemployment_rate_2006,Unemployment_rate_2007,Unemployment_rate_2008,Unemployment_rate_2009,Unemployment_rate_2010,Unemployment_rate_2011,Unemployment_rate_2012,Unemployment_rate_2013,Unemployment_rate_2014,Unemployment_rate_2015,Unemployment_rate_2016,Unemployment_rate_2017,Unemployment_rate_2018,Unemployment_rate_2019,Unemployment_rate_2020,Unemployment_rate_2021,Unemployment_rate_2022
1000,Alabama,4.600000000000001,5.2,5.9,6.0,5.600000000000001,4.4,4.0,4.100000000000001,5.800000000000001,10.1,10.4,9.600000000000001,8.200000000000001,7.300000000000001,6.7,6.100000000000001,5.9,4.5,3.9,3.2,6.4,3.4,2.6
1001,"Autauga County, AL",4.100000000000001,4.100000000000001,4.800000000000001,5.0,4.7,3.8,3.3,3.4,5.300000000000001,8.9,8.8,8.3,7.100000000000001,6.300000000000001,5.800000000000001,5.2,5.100000000000001,4.0,3.6,2.9,5.300000000000001,2.8,2.3
1003,"Baldwin County, AL",3.7,4.3,5.0,4.9,5.100000000000001,4.0,3.2,3.2,4.800000000000001,8.9,9.9,9.0,7.7,6.7,6.100000000000001,5.600000000000001,5.4,4.2,3.6,2.9,6.100000000000001,2.9,2.4
1005,"Barbour County, AL",5.600000000000001,7.600000000000001,7.7,7.100000000000001,7.100000000000001,5.7,5.600000000000001,6.4,9.1,13.2,12.1,11.4,11.8,10.4,10.5,8.9,8.4,6.0,5.100000000000001,4.0,7.7,5.5,4.100000000000001
1007,"Bibb County, AL",5.4,6.800000000000001,7.0,5.9,5.4,4.4,4.2,4.2,6.0,12.2,11.2,10.4,8.8,8.0,7.2,6.7,6.5,4.5,4.0,3.3,7.300000000000001,3.4,2.5
1009,"Blount County, AL",3.5,3.7,5.4,4.600000000000001,4.100000000000001,3.6,3.2,3.2,4.800000000000001,9.200000000000001,9.700000000000001,8.6,7.100000000000001,6.4,6.100000000000001,5.4,5.4,4.100000000000001,3.5,2.8,4.5,2.4,2.2
1011,"Bullock County, AL",8.5,10.0,10.2,10.9,11.4,9.4,8.8,9.600000000000001,10.9,14.4,11.7,11.5,10.6,9.5,8.8,8.0,6.9,5.0,4.7,3.9,6.0,3.9,2.8
1013,"Butler County, AL",7.9,7.600000000000001,7.9,8.6,9.4,6.4,5.7,6.300000000000001,8.8,15.1,13.4,12.4,11.8,10.4,8.5,7.600000000000001,6.9,5.600000000000001,4.7,3.9,9.5,5.100000000000001,3.4
1015,"Calhoun County, AL",5.100000000000001,5.600000000000001,6.0,5.9,5.4,4.5,4.0,4.0,5.9,10.2,11.2,10.3,9.1,8.9,7.9,7.100000000000001,6.600000000000001,5.100000000000001,4.600000000000001,3.7,7.7,4.0,3.0
1017,"Chambers County, AL",4.4,5.5,6.7,6.4,6.9,5.7,5.800000000000001,6.600000000000001,14.9,18.1,14.6,11.8,10.1,8.1,6.7,6.100000000000001,5.5,4.2,3.9,3.1,7.4,3.6,2.6
1019,"Cherokee County, AL",4.5,4.600000000000001,4.800000000000001,4.9,4.7,4.3,4.2,4.3,5.9,10.7,10.5,9.600000000000001,8.200000000000001,6.7,5.800000000000001,5.5,5.100000000000001,4.2,3.6,3.0,5.100000000000001,2.5,2.3
