county_fips,year,total_population,state_fips,death_drug_poisonings_unintentional,total_morphine_mg,state,county_name,mortality_rate,mean_mortality_rate_per_state_year,filled_mortality_rate
1,2006,149704.0,10,11.0,46297924.487762496,DE,KENT,7.34783305723294,7.562575681002588,7.34783305723294
1,2007,153969.0,10,,57367638.109124996,DE,KENT,,7.382630341396858,7.382630341396858
1,2008,157925.0,10,11.0,71992178.0344875,DE,KENT,6.965331644768086,9.803144084106231,6.965331644768086
1,2009,160081.0,10,15.0,80408464.4288625,DE,KENT,9.370256307744205,11.46980675810057,9.370256307744205
1,2010,162956.0,10,19.0,100467016.57511249,DE,KENT,11.65958909153391,12.934070887692625,11.65958909153391
1,2011,165110.0,10,24.0,118795197.74283749,DE,KENT,14.535764036097149,13.100450073608991,14.535764036097149
1,2012,167297.0,10,28.0,103064697.7651125,DE,KENT,16.736701793815786,12.510714918605046,16.736701793815786
1,2013,169038.0,10,28.0,94221330.2738625,DE,KENT,16.564322814988348,14.506067693931366,16.564322814988348
1,2014,171456.0,10,32.0,91500492.630225,DE,KENT,18.66368047779022,16.42411487475331,18.66368047779022
1,2015,173128.0,10,34.0,82765038.5439,DE,KENT,19.638648860958366,18.47957621108606,19.638648860958366
3,2006,527174.0,10,41.0,203747339.21648756,DE,NEW CASTLE,7.777318304772238,7.562575681002588,7.777318304772238
3,2007,530555.0,10,50.0,235060656.8647125,DE,NEW CASTLE,9.424093637794385,7.382630341396858,9.424093637794385
3,2008,533958.0,10,67.0,299378942.215775,DE,NEW CASTLE,12.547803385284984,9.803144084106231,12.547803385284984
3,2009,536898.0,10,60.0,354421614.41437507,DE,NEW CASTLE,11.175307041560968,11.46980675810057,11.175307041560968
3,2010,538752.0,10,70.0,397162946.93475,DE,NEW CASTLE,12.992991209313375,12.934070887692625,12.992991209313375
3,2011,541909.0,10,72.0,417031860.1148625,DE,NEW CASTLE,13.286363577648647,13.100450073608991,13.286363577648647
3,2012,544848.0,10,65.0,367114010.62713754,DE,NEW CASTLE,11.929932751886763,12.510714918605046,11.929932751886763
3,2013,548331.0,10,76.0,311420456.61090004,DE,NEW CASTLE,13.860241350571096,14.506067693931366,13.860241350571096
3,2014,550768.0,10,90.0,289548217.1588625,DE,NEW CASTLE,16.34081863870087,16.42411487475331,16.34081863870087
3,2015,553488.0,10,95.0,277563624.58140004,DE,NEW CASTLE,17.163877084959385,18.47957621108606,17.163877084959385
5,2006,182390.0,10,,106384006.8425,DE,SUSSEX,,7.562575681002588,7.562575681002588
5,2007,187225.0,10,10.0,144192422.639325,DE,SUSSEX,5.341167044999332,7.382630341396858,5.341167044999332
5,2008,191991.0,10,19.0,191183863.7364,DE,SUSSEX,9.896297222265627,9.803144084106231,9.896297222265627
5,2009,194751.0,10,27.0,226555096.448175,DE,SUSSEX,13.863856924996535,11.46980675810057,13.863856924996535
5,2010,197885.0,10,28.0,282658594.095225,DE,SUSSEX,14.149632362230589,12.934070887692625,14.149632362230589
5,2011,200362.0,10,23.0,320865165.42795,DE,SUSSEX,11.479222607081184,13.100450073608991,11.479222607081184
5,2012,203034.0,10,18.0,203383087.967025,DE,SUSSEX,8.865510210112593,12.510714918605046,8.865510210112593
5,2013,206207.0,10,27.0,158516350.5502125,DE,SUSSEX,13.093638916234656,14.506067693931366,13.093638916234656
5,2014,210263.0,10,30.0,153132404.97611248,DE,SUSSEX,14.267845507768843,16.42411487475331,14.267845507768843
5,2015,214636.0,10,40.0,129133384.9701,DE,SUSSEX,18.63620268734043,18.47957621108606,18.63620268734043
1,2006,239506.0,12,,82596618.68772501,FL,ALACHUA,,14.028622030911139,14.028622030911139
1,2007,242685.0,12,17.0,95264077.6667875,FL,ALACHUA,7.004965284216165,14.088496419709609,7.004965284216165
1,2008,244888.0,12,,114679035.9417625,FL,ALACHUA,,15.208641162050228,15.208641162050228
1,2009,246657.0,12,15.0,141292808.080425,FL,ALACHUA,6.081319403057687,14.500168263534942,6.081319403057687
1,2010,247614.0,12,15.0,150921955.5058875,FL,ALACHUA,6.057815793937338,15.664955201489008,6.057815793937338
