County,County Code,Year,source,State,Deaths caused by All other drug-induced causes,Deaths caused by Drug poisonings (overdose) Homicide (X85),Deaths caused by Drug poisonings (overdose) Suicide (X60-X64),Deaths caused by Drug poisonings (overdose) Undetermined (Y10-Y14),Deaths caused by Drug poisonings (overdose) Unintentional (X40-X44)
Abbeville County,45001.0,2003.0,"Underlying Cause of Death, 2003.txt",SC,,,,,
Abbeville County,45001.0,2004.0,"Underlying Cause of Death, 2004.txt",SC,,,,,
Abbeville County,45001.0,2005.0,"Underlying Cause of Death, 2005.txt",SC,,,,,
Abbeville County,45001.0,2006.0,"Underlying Cause of Death, 2006.txt",SC,,,,,
Abbeville County,45001.0,2007.0,"Underlying Cause of Death, 2007.txt",SC,,,,,
Abbeville County,45001.0,2008.0,"Underlying Cause of Death, 2008.txt",SC,,,,,
Abbeville County,45001.0,2009.0,"Underlying Cause of Death, 2009.txt",SC,,,,,
Abbeville County,45001.0,2010.0,"Underlying Cause of Death, 2010.txt",SC,,,,,
Abbeville County,45001.0,2011.0,"Underlying Cause of Death, 2011.txt",SC,,,,,
Abbeville County,45001.0,2012.0,"Underlying Cause of Death, 2012.txt",SC,,,,,
Abbeville County,45001.0,2013.0,"Underlying Cause of Death, 2013.txt",SC,,,,,
Abbeville County,45001.0,2014.0,"Underlying Cause of Death, 2014.txt",SC,,,,,
Abbeville County,45001.0,2015.0,"Underlying Cause of Death, 2015.txt",SC,,,,,
Acadia Parish,22001.0,2003.0,"Underlying Cause of Death, 2003.txt",LA,,,,,11.0
Acadia Parish,22001.0,2004.0,"Underlying Cause of Death, 2004.txt",LA,,,,,
Acadia Parish,22001.0,2005.0,"Underlying Cause of Death, 2005.txt",LA,,,,,23.0
Acadia Parish,22001.0,2006.0,"Underlying Cause of Death, 2006.txt",LA,,,,,19.0
Acadia Parish,22001.0,2007.0,"Underlying Cause of Death, 2007.txt",LA,,,,19.0,
Acadia Parish,22001.0,2008.0,"Underlying Cause of Death, 2008.txt",LA,,,,,
Acadia Parish,22001.0,2009.0,"Underlying Cause of Death, 2009.txt",LA,,,,11.0,
Acadia Parish,22001.0,2010.0,"Underlying Cause of Death, 2010.txt",LA,,,,13.0,
Acadia Parish,22001.0,2011.0,"Underlying Cause of Death, 2011.txt",LA,,,,10.0,
Acadia Parish,22001.0,2012.0,"Underlying Cause of Death, 2012.txt",LA,,,,,
Acadia Parish,22001.0,2013.0,"Underlying Cause of Death, 2013.txt",LA,,,,,
Acadia Parish,22001.0,2014.0,"Underlying Cause of Death, 2014.txt",LA,,,,,
Acadia Parish,22001.0,2015.0,"Underlying Cause of Death, 2015.txt",LA,,,,,
Accomack County,51001.0,2003.0,"Underlying Cause of Death, 2003.txt",VA,,,,,
Accomack County,51001.0,2004.0,"Underlying Cause of Death, 2004.txt",VA,,,,,
Accomack County,51001.0,2005.0,"Underlying Cause of Death, 2005.txt",VA,,,,,
Accomack County,51001.0,2006.0,"Underlying Cause of Death, 2006.txt",VA,,,,,
Accomack County,51001.0,2007.0,"Underlying Cause of Death, 2007.txt",VA,,,,,
Accomack County,51001.0,2008.0,"Underlying Cause of Death, 2008.txt",VA,,,,,
Accomack County,51001.0,2009.0,"Underlying Cause of Death, 2009.txt",VA,,,,,
Accomack County,51001.0,2010.0,"Underlying Cause of Death, 2010.txt",VA,,,,,
