year,total_morphine_mg,total_transactions,tot_pop,p_greater45,fips,State,unemployment_rate
2006,1423030479.9083,434974,9257962.0,2392444.0,1.0,AL,4.713235294117647
2007,1637193109.119735,479494,9345680.0,2445740.0,1.0,AL,4.989705882352942
2008,1826246581.2357502,516717,9436412.0,2488988.0,1.0,AL,7.197058823529412
2009,1971309788.7639,544196,9515876.0,2531242.0,1.0,AL,12.085294117647058
2010,2169217362.9756002,581130,9570874.0,2571372.0,1.0,AL,12.125
2011,2505370556.7472124,632014,9598138.0,2592806.0,1.0,AL,11.105882352941178
2012,2729790071.4580126,686266,9631176.0,2580514.0,1.0,AL,9.461764705882352
2013,2724048648.837525,702849,9660162.0,2573994.0,1.0,AL,8.598529411764707
2014,2756807713.882875,571826,9683598.0,2570106.0,1.0,AL,7.839705882352941
2015,2690464245.30705,523965,9704694.0,2572602.0,1.0,AL,7.066176470588236
2016,2543119822.8942003,523566,9727050.0,2577050.0,1.0,AL,6.69264705882353
2017,2221177809.8895,492856,9748972.0,2573700.0,1.0,AL,5.161764705882354
2018,1920207732.58665,444589,9775362.0,2563700.0,1.0,AL,4.455882352941177
2019,1670918446.698,419184,9806370.0,2548566.0,1.0,AL,3.6470588235294117
2006,712329896.6463,284235,5643522.0,1419964.0,5.0,AR,5.964473684210527
2007,852019849.5714874,323317,5697300.0,1449218.0,5.0,AR,6.139473684210526
2008,977223859.031075,357155,5749108.0,1474148.0,5.0,AR,6.136842105263159
2009,1105806557.5380375,378989,5793686.0,1498276.0,5.0,AR,8.535526315789474
2010,1220469118.2736125,412878,5843928.0,1520498.0,5.0,AR,8.726315789473684
2011,1352183209.4762251,439416,5881334.0,1532916.0,5.0,AR,8.830263157894738
2012,1460927535.587025,439649,5904328.0,1521142.0,5.0,AR,8.15263157894737
2013,1433632763.3009624,405987,5918800.0,1514040.0,5.0,AR,7.968421052631579
2014,1506404552.1004875,329398,5934784.0,1508432.0,5.0,AR,6.681578947368421
2015,1488660734.6007,311546,5956096.0,1509916.0,5.0,AR,5.69342105263158
2016,1432180040.2536,322290,5979836.0,1512376.0,5.0,AR,4.614473684210527
2017,1325884803.4643998,311431,6002690.0,1510672.0,5.0,AR,4.275
2018,1086716748.7689,283847,6019466.0,1504248.0,5.0,AR,4.165789473684211
2019,896191243.6931999,266614,6035608.0,1495152.0,5.0,AR,4.117105263157895
2006,1850165177.9885378,442486,12058282.0,2835602.0,4.0,AZ,5.987500000000001
2007,2160972495.8116755,493628,12335362.0,2936398.0,4.0,AZ,5.2125
2008,2460599540.1467505,531222,12560724.0,3015454.0,4.0,AZ,7.5375000000000005
2009,2808247431.30945,555719,12686308.0,3081690.0,4.0,AZ,12.43125
2010,3053182798.2761626,567262,12814344.0,3149572.0,4.0,AZ,12.81875
2011,3453184728.90705,607023,12945286.0,3194432.0,4.0,AZ,11.98125
2012,3678508943.1296253,629491,13109956.0,3202654.0,4.0,AZ,11.04375
2013,3473135204.385675,649673,13265528.0,3223274.0,4.0,AZ,10.6125
2014,3512885607.760725,597648,13460826.0,3255762.0,4.0,AZ,9.29375
2015,3346286554.8126006,526094,13659352.0,3301206.0,4.0,AZ,8.5875
2016,3165071114.146851,510814,13882144.0,3351800.0,4.0,AZ,7.6312500000000005
2017,2740907241.0190506,468130,14088016.0,3392690.0,4.0,AZ,6.74375
2018,2187517469.479201,421753,14316048.0,3427622.0,4.0,AZ,6.525
2019,1859039836.424701,408963,14557434.0,3465768.0,4.0,AZ,6.456250000000001
2006,7310039948.280863,1725738,72042404.0,16996240.0,6.0,CA,6.233898305084746
2007,8339283248.135675,1800493,72500622.0,17411818.0,6.0,CA,6.6881355932203395
2008,9178852405.261889,1890399,73208674.0,17814802.0,6.0,CA,8.628813559322035
2009,10143196336.415363,1959339,73922458.0,18251986.0,6.0,CA,12.867796610169492
2010,10518514326.907312,2089624,74639004.0,18650742.0,6.0,CA,14.10677966101695
2011,10987239940.244265,2226151,75276738.0,18939960.0,6.0,CA,13.625423728813558
2012,11397373390.3698,2166057,75897600.0,19050822.0,6.0,CA,12.305084745762711
2013,11074687882.932564,2213301,76521574.0,19204836.0,6.0,CA,10.505084745762714
2014,10622389138.410353,2009690,77193944.0,19374082.0,6.0,CA,8.901694915254238
2015,10257105141.269701,1588765,77836090.0,19560366.0,6.0,CA,7.559322033898305
2016,9497263291.45505,1515729,78334234.0,19676584.0,6.0,CA,6.92542372881356
2017,8413812214.835252,1397309,78716994.0,19710084.0,6.0,CA,6.059322033898305
2018,7059359198.258401,1276430,78923176.0,19650572.0,6.0,CA,5.301694915254237
2019,5885468606.564401,1174068,79024446.0,19532760.0,6.0,CA,5.169491525423729
2006,1000047164.916575,332740,9440846.0,2423374.0,8.0,CO,4.1523076923076925
2007,1172890536.2325625,378745,9607736.0,2504646.0,8.0,CO,3.5353846153846153
2008,1324741083.2888374,410433,9779460.0,2573096.0,8.0,CO,4.621538461538462
2009,1454845969.7619748,418955,9944390.0,2639302.0,8.0,CO,7.0307692307692315
2010,1625513165.5053375,441284,10094698.0,2691176.0,8.0,CO,9.023076923076923
2011,1862175367.99485,457555,10242216.0,2728302.0,8.0,CO,8.575384615384616
2012,1991675444.4916124,473592,10385294.0,2734708.0,8.0,CO,7.976923076923077
2013,1768086899.4597,467111,10538070.0,2752172.0,8.0,CO,6.981538461538462
2014,1709801159.0140874,434917,10700202.0,2773738.0,8.0,CO,5.164615384615385
2015,1653983876.75355,389322,10901246.0,2805760.0,8.0,CO,3.8707692307692305
2016,1535335314.28785,368595,11078430.0,2832408.0,8.0,CO,3.204615384615385
2017,1350401175.0192,339789,11223770.0,2840996.0,8.0,CO,2.6169230769230767
2018,1133463441.35295,317909,11382574.0,2841442.0,8.0,CO,3.0676923076923077
2019,985722431.89425,312039,11517472.0,2838326.0,8.0,CO,2.743076923076923
2006,1096573333.0754876,234692,7034920.0,1893410.0,9.0,CT,4.322222222222223
2007,1227880441.7513876,254954,7054540.0,1933268.0,9.0,CT,4.388888888888889
2008,1288870718.9821875,260814,7091158.0,1965072.0,9.0,CT,5.522222222222222
2009,1374796612.4214976,261289,7123614.0,2007048.0,9.0,CT,8.122222222222224
2010,1480440106.198161,269432,7158228.0,2044716.0,9.0,CT,9.411111111111111
2011,1524368491.497702,275792,7176566.0,2069506.0,9.0,CT,8.833333333333334
2012,1627704400.6582875,281782,7189094.0,2066882.0,9.0,CT,8.244444444444445
2013,1599433328.7256124,296032,7189682.0,2067108.0,9.0,CT,7.844444444444445
2014,1527564771.6390376,281697,7189048.0,2065820.0,9.0,CT,6.500000000000001
2015,1409010158.1327,250536,7174244.0,2063526.0,9.0,CT,5.522222222222223
2016,1230579014.06625,236209,7156282.0,2054988.0,9.0,CT,4.733333333333333
2017,1031308202.78985,212369,7146594.0,2037570.0,9.0,CT,4.300000000000001
2018,877528230.0609,191771,7143040.0,2012872.0,9.0,CT,3.7777777777777777
2019,773347833.5904,176442,7130574.0,1980720.0,9.0,CT,3.522222222222222
2006,73930590.85046251,14265,1141362.0,268710.0,11.0,DC,6.300000000000001
2007,87580634.46516252,16199,1148808.0,270774.0,11.0,DC,6.0
2008,81636805.91550002,15915,1160472.0,273064.0,11.0,DC,6.800000000000001
2009,93539899.89903751,17029,1184456.0,276586.0,11.0,DC,10.0
2010,101875473.44947502,18300,1210452.0,280868.0,11.0,DC,10.0
2011,116521675.4088,19719,1239600.0,286212.0,11.0,DC,10.2
2012,115245786.01968752,21810,1269848.0,287640.0,11.0,DC,9.0
2013,112320566.78580002,24078,1301162.0,290288.0,11.0,DC,8.4
2014,103890922.7144625,22574,1324656.0,291652.0,11.0,DC,7.7
2015,98689141.2843,19937,1350800.0,293154.0,11.0,DC,6.9
2016,90166580.5722,19047,1371630.0,295250.0,11.0,DC,6.2
2017,78703456.4976,17491,1389812.0,293746.0,11.0,DC,6.100000000000001
2018,65505202.3287,17354,1403094.0,292018.0,11.0,DC,5.7
2019,57985723.7301,16277,1411498.0,288324.0,11.0,DC,5.5
2006,356429270.54675007,77327,1718536.0,444872.0,10.0,DE,3.7500000000000004
2007,436620717.6131625,77307,1743498.0,458306.0,10.0,DE,3.575
2008,562554983.9866625,84183,1767748.0,470196.0,10.0,DE,5.025
2009,661385175.2914126,87139,1783460.0,480672.0,10.0,DE,8.325000000000001
2010,780288557.6050875,91289,1799186.0,491242.0,10.0,DE,8.8
2011,856692223.28565,90935,1814762.0,499004.0,10.0,DE,7.750000000000001
2012,673561796.359275,90272,1830358.0,500142.0,10.0,DE,7.225000000000001
2013,564158137.434975,91623,1847152.0,502222.0,10.0,DE,6.750000000000001
2014,534181114.7652,86042,1864974.0,505634.0,10.0,DE,5.725000000000001
2015,489462048.09540004,79138,1882504.0,510280.0,10.0,DE,4.9
2016,463171924.27185,78873,1897842.0,514204.0,10.0,DE,4.575
2017,417787189.24125004,74107,1913646.0,515112.0,10.0,DE,4.550000000000001
2018,365016920.7639,71615,1930958.0,515246.0,10.0,DE,3.7750000000000004
2019,308525139.45,66845,1947528.0,513222.0,10.0,DE,3.675
2006,7572190861.040725,1549017,36333980.0,9364462.0,12.0,FL,2.557352941176471
2007,9276717954.69229,1646513,36735684.0,9601366.0,12.0,FL,3.411764705882353
2008,12077676186.440424,1695653,37054610.0,9785332.0,12.0,FL,5.860294117647059
2009,15412311716.04572,1736990,37305288.0,9979584.0,12.0,FL,9.33529411764706
2010,19731877004.38125,1809094,37691074.0,10196938.0,12.0,FL,10.604411764705883
2011,15175717755.789488,1790556,38106474.0,10350500.0,12.0,FL,10.119117647058824
2012,9422474169.377888,1700506,38595644.0,10387266.0,12.0,FL,8.972058823529412
2013,7378501297.16175,1713397,39091242.0,10458366.0,12.0,FL,7.855882352941177
2014,7105947358.3529625,1433615,39691822.0,10581114.0,12.0,FL,6.801470588235295
