year,state_name,state_fips,county_name,county_fips,total_population,death_drug_poisonings_unintentional,mortality_rate_unintentional_drug_poisoning,mean_mortality_rate_unintentional_drug_poisoning_per_state_year,filled_mortality_rate_unintentional_drug_poisoning,mme,mme_per_capita,merge_population_vitalstatistics,merge_population_vitalstatistics_opioids
2000,DE,10,,1,127229.0,,,,,,,left_only,left_only
2001,DE,10,,1,129228.0,,,,,,,left_only,left_only
2002,DE,10,,1,131824.0,,,,,,,left_only,left_only
2003,DE,10,,1,134605.0,10.0,7.429144534006909,7.696941057664898,7.429144534006909,,,both,left_only
2004,DE,10,,1,139342.0,,,5.693178862479285,5.693178862479285,,,both,left_only
2005,DE,10,,1,144585.0,,,7.069933103146503,7.069933103146503,,,both,left_only
2006,DE,10,KENT,1,149704.0,11.0,7.34783305723294,7.562575681002588,7.34783305723294,46297924.487762496,309.26310912041424,both,both
2007,DE,10,KENT,1,153969.0,,,7.382630341396858,7.382630341396858,57367638.109125,372.5921328911989,both,both
2008,DE,10,KENT,1,157925.0,11.0,6.965331644768086,9.803144084106231,6.965331644768086,71992178.0344875,455.86308712672155,both,both
2009,DE,10,KENT,1,160081.0,15.0,9.370256307744205,11.46980675810057,9.370256307744205,80408464.4288625,502.29861400704954,both,both
2010,DE,10,KENT,1,162956.0,19.0,11.65958909153391,12.934070887692625,11.65958909153391,100467016.57511249,616.5284897463886,both,both
2011,DE,10,KENT,1,165110.0,24.0,14.535764036097149,13.100450073608991,14.535764036097149,118795197.74283749,719.4912345880775,both,both
2012,DE,10,KENT,1,167297.0,28.0,16.736701793815786,12.510714918605046,16.736701793815786,103064697.76511249,616.0582542730144,both,both
2013,DE,10,KENT,1,169038.0,28.0,16.564322814988348,14.506067693931366,16.564322814988348,94221330.2738625,557.3973323978188,both,both
2014,DE,10,KENT,1,171456.0,32.0,18.66368047779022,16.42411487475331,18.66368047779022,91500492.630225,533.667486878412,both,both
